station,strike,dip,comments,recorder
EY18-09,30,7,,NH
EY18-10,35,28,,NH
FL18-68 D,225,22,amygdules,NH
FL18-71 A,244,30,,NH
FL18-72 B,226,40,,NH
FL18-72 E,220,30,,NH
FL18-95 B,288,45,,NH
FL18-95 C,290,55,iffy,NH
FL18-97 B,130,15,,NH
FL18-97 B,120,9,,NH
TJ18-37  J,297,28,,NH
TJ18-37 F,244,28,amygdules,NH
TJ18-37 O,276,34,amygdules,NH
TJ18-37 O,330,40,,NH
TJ18-37 O,335,20,,NH
TJ18-37 P,295,24,iffy,NH
TJ18-43 A,100,45,,NH
TJ18-43 H,127,35,,NH
TJ18-48 G,197,32,,NH
TJ18-49 A,112,35,,NH
TJ18-49 A,135,30,,NH
TJ18-49 F,322,25,,NH
TJ18-49 F,296,15,,NH
TJ18-49 H,120,25,,NH
TR18-10,275,20,,NH
TJ18-43 H,110,30,iffy,ST
TJ18-47 C,256,11,iffy,ST
TJ18-47 D,189,16,,ST
TJ18-47 K,135,20,iffy,ST
TJ18-47 M,137,20,,ST
TJ18-47 Q,220,35,,ST
TJ18-47 Q,190,40,,ST
TJ18-47 S,140,25,,ST
TJ18-48 B,285,28,,ST
TJ18-48 C,270,32,,ST
TJ18-48 G,198,25,,ST
TJ18-41,244,9,iffy,ST
TJ18-41,315,7,,ST
TJ18-41,240,8,,ST
TJ18-41,224,39,,ST
TJ18-41,92,18,iffy,ST
TJ18-41,35,23,,ST
TJ18-37 A,295,26,iffy,ST
TJ18-37 A,300,28,,ST
TJ18-37 E,270,30,amygdules,ST
TJ18-37 M,263,30,amygdules,ST
TJ18-37 S,295,27,,ST
TJ18-37 T,255,20,,ST
TJ18-41 B,192,18,,ST
TJ18-41 C,272,10,,ST
TJ18-42 G,335,18,,ST
TJ18-43,160,35,,ST
TJ18-43,172,29,,ST
TJ18-43,110,30,,ST
TJ18-43,135,30,,ST
TJ18-45 D,285,32,amygdules,ST
TJ18-46,206,15,iffy,ST
TJ18-46,220,10,iffy,ST
TJ18-47 C,256,21,,ST
TJ18-47 Q,220,35,,ST
TJ18-48 C,270,32,iffy,ST
TJ18-48 J,198,25,,ST
TJ18-49 A,120,28,,ST
TJ18-49 B,250,20,,ST
TJ18-49 B,225,25,,ST
TJ18-49 E,295,35,,ST
TJ18-49 F,160,20,iffy,ST
TJ18-49 F,162,25,iffy,ST
TJ18-49 F,235,25,iffy,ST
TJ18-49 H,295,30,,ST
TJ18-49 H,300,15,,ST
EY18-08 A,277,15,,ST
EY18-08 A,15,13,amygdules,ST
EY18-08 A,40,20,,ST
EY18-08 D,45,22,amygdules,ST
EY18-10 C,75,5,,ST
EY18-10 C,100,16,,ST
EY18-10 C,104,8,,ST
EY18-13,31,9,iffy,ST
EY18-13,305,7,iffy,ST
EY18-13,26,11,,ST
FL18-68,200,32,amygdules,ST
FL18-71 C,248,35,,ST
FL18-71 E,207,30,amygdules,ST
Fl18-72 A,228,24,amygdules,ST
Fl18-72 A,225,40,,ST
FL18-72 E,220,30,,ST
TR18-10,100,10,iffy,ST
TR18-10,260,10,iffy,ST
TR18-11,90,10,,ST
TR18-12,190,9,iffy,ST
TR18-12,185,12,amygdules,ST
TR18-14,110,19,,ST
TR18-14,112,13,amygdules,ST
TR18-14,126,16,,ST
FL18-96 D,206,8,,ST
FL18-96 D,254,26,,ST
FL18-97,132,12,,ST
FL18-98 A,115,14,amygdules,ST
FL18-98 A,166,15,amygdules,ST
FL18-98 B,92,14,amygdules,ST
FL18-98 C,210,16,amygdules,ST
FL18-99 D,243,36,,ST
FL18-99 H,215,15,iffy,ST
FL18-100 C,120,10,,ST
FL18-101 A,104,8,iffy,ST
FL18-101 B,115,10,,ST
FL18-68 B,250,24,,PA
FL18-68 E,252,24,,PA
FL18-69 E,242,33,,PA
FL18-67 A,285,38,,PA
FL18-67 A,272,44,,PA
FL18-75 A,10,42,,PA
FL18-75 B,278,45,,PA
FL18-75 B,286,57,,PA
FL18-75 B,300,45,,PA
FL18-75 B,303,40,,PA
FL18-75 C,287,50,,PA
FL18-99 H,210,33,,PA
FL18-101 A,104,8,,PA
FL18-101 A,78,22,,PA
FL18-101 A,92,14,,PA
EY18-08 B,7,22,,SWS
EY18-08 G,31,15,,SWS
EY18-10 B,76,30,,SWS
FL18-68,310,15,conglomerate (day with just seth and paul),SWS
FL18-69,192,46,,SWS
FL18-69 C,235,39,,SWS
FL18-95 C,288,46,,SWS
TR18-10,17,12,iffy,SWS
TR18-14 B,187,5,,SWS
FL18-97,142,10,iffy,SWS