station,strike,dip,width (cm),movement,fill,comments,measurer
TJ18-41 B,96,89,,,,,MB
TJ18-41 B,320,70,,,,,MB
TJ18-41 B,275,82,,,,,MB
TJ18-41 B,130,90,,,,,MB
TJ18-41 B,128,90,,,,,MB
TJ18-41 B,134,75,,,,,MB
TJ18-41 B,145,90,,,,,MB
TJ18-41 B,85,64,,,,,MB
TJ18-41 B,125,90,,,,,MB
TJ18-41 B,125,90,,,,,MB
TJ18-41 B,127,90,,,,,MB
TJ18-41 B,326,57,,,,,MB
TJ18-41 B,145,67,,,,,MB
TJ18-41 B,325,83,,,,,MB
TJ18-41 B,143,90,,,,,MB
TJ18-41 B,143,90,,,,,MB
TJ18-41 B,90,90,,,,,MB
TJ18-41 B,125,82,,,,,MB
TJ18-41 B,130,90,,,,,MB
TJ18-41 B,2,90,,RL,,,MB
TJ18-41 B,116,84,,,,,MB
TJ18-41 B,90,90,,,,,MB
TJ18-41 B,11,90,,,,,MB
TJ18-41 B,24,90,,,,,MB
TJ18-41 B,14,90,,,,,MB
TJ18-41 B,25,90,,,,,MB
TJ18-41 B,50,90,,,,,MB
TJ18-41 B,35,90,,,,,MB
TJ18-41 B,22,90,,,,,MB
TJ18-41 B,15,90,,,,,MB
TJ18-41 B,134,90,,,,,MB
TJ18-41 B,156,90,,,,,MB
TJ18-41 B,155,90,,,,,MB
TJ18-41 B,145,90,,,,,MB
TJ18-41 B,155,90,,,,,MB
TJ18-41 B,170,90,,,,,MB
TJ18-41 B,160,90,,,,,MB
TJ18-41 B,155,90,,,,,MB
TJ18-41 B,155,90,,,,,MB
TJ18-41 B,80,90,,,,,MB
TJ18-41 B,145,90,,,,,MB
TJ18-41 B,150,90,,,,,MB
TJ18-41 B,152,90,,,,,MB
TJ18-37 V ,315,90,,,,,MB
EY18-08 B,157,78,,,,,NH
EY18-08 B,354,85,0.1,,white,,NH
EY18-08 B,23,75,,,,,NH
EY18-08 E,343,80,0.1,,,,NH
EY18-10,2,90,,,,,NH
EY18-10,0,80,,,,,NH
EY18-10,340,85,,,,,NH
FL18-71 A,160,60,,,,,NH
FL18-71 A,200,60,,,,,NH
FL18-71 A,95,63,,,,,NH
FL18-71 C,213,70,,,,sighted,NH
FL18-71 C,40,80,,,,sighted,NH
FL18-96 A,180,90,,,,,NH
FL18-96 A,195,90,,,,,NH
FL18-96 A,102,80,,,,,NH
FL18-96 A,328,75,,,,,NH
FL18-96 A,6,84,,,,,NH
FL18-96 A,324,80,,,,,NH
FL18-96 A,15,85,,,,,NH
FL18-96 A,141,63,,,,,NH
FL18-96 A,250,80,,,,,NH
FL18-96 A,15,85,,,,,NH
FL18-96 A,188,82,,,,,NH
FL18-96 A,354,80,,,,,NH
FL18-96 A,144,80,,,,,NH
FL18-96 A,142,90,,,,,NH
FL18-96 A,155,90,,,,not great,NH
FL18-97 C,108,90,10,,,not great,NH
FL18-97 C,235,80,,,,,NH
FL18-97 C,0,80,,,,,NH
FL18-97 C,275,75,,,,,NH
TJ18-37 B,72,64,1,,none,,NH
TJ18-37 W,345,87,,,,,NH
TJ18-41 A,350,64,0.1,,"white, banded off-white",,NH
TJ18-41 A,30,70,0.1,,white,,NH
TJ18-41 A,344,65,0.1,,white,,NH
TJ18-41 A,180,83,0.1,,white,,NH
TJ18-41 A,345,67,0.1,,white,,NH
TJ18-41 A,102,86,0.1,,tan clay stuff,,NH
TJ18-41 A,180,90,0.1,,white,,NH
TJ18-41 A,329,83,0.1,,white,,NH
TJ18-41 A,351,64,0.1,,white,,NH
TJ18-41 A,346,82,0.1,LL,none,,NH
TJ18-41 A,45,90,0.3,,weathered out,platform,NH
TJ18-41 A,335,80,0.4,,"clay, small pebbles",,NH
TJ18-41 A,72,90,0.1,LL,white,platform,NH
TJ18-41 A,164,90,2,,weathered out,platform,NH
TJ18-41 A,90,66,0.2,,"sand, clay",,NH
TJ18-41 A,12,90,0.1,,none,platform,NH
TJ18-41 A,82,80,0.1,RL,white,,NH
TJ18-47 A,125,90,,,,,NH
TJ18-47 A,140,90,,,,,NH
TJ18-47 B,135,90,,,,,NH
TJ18-47 B,133,90,,,,,NH
TJ18-47 C,340,85,50,,"white, tan clay, an area with variable volcanic clasts, makes us think maybe sed dike?",,NH
TJ18-47 D,135,90,,,,approximate,NH
TJ18-47 E,255,90,1,,tan clay. Pabbles on inside (maybe fallen in recently),,NH
TJ18-47 K,11,84,,,,,NH
TJ18-47 K,254,80,,,,,NH
TJ18-47 K,190,85,,,,,NH
TJ18-47 K,205,66,,,,,NH
TJ18-47 K,265,66,,,red mineral,,NH
TJ18-47 K,320,68,,,,,NH
TJ18-47 K,330,85,,,,,NH
TJ18-47 K,338,42,,,,,NH
TJ18-47 K,306,78,,,,,NH
TJ18-47 L,78,88,,,,,NH
TJ18-47 L,92,90,,,,,NH
TJ18-47 L,355,76,,,,,NH
TJ18-47 L,100,82,,,,,NH
TJ18-47 M,101,90,,,,,NH
TJ18-47 M,283,44,,,,,NH
TJ18-47 M,110,90,,,,,NH
TJ18-47 N,105,90,,,,,NH
TJ18-47 N,100,90,,,,,NH
TJ18-47 P,294,77,,,tan clay,,NH
TJ18-47 P,295,75,3,,,,NH
TJ18-47 P,295,80,500,,,,NH
TJ18-47 P,310,80,500,,,,NH
TJ18-47 P,115,90,,,,,NH
TJ18-47 P,340,70,,,,,NH
TJ18-47 R,305,80,,,,,NH
TJ18-47 S,112,80,,,,,NH
TJ18-47 S,115,90,,,,,NH
TJ18-48 A,130,90,0.5,,,,NH
TJ18-48 A,135,90,0.5,,,,NH
TJ18-48 A,140,90,,,,,NH
TJ18-48 C,180,85,,,,,NH
TJ18-48 C,295,80,,,,,NH
TJ18-48 D,150,90,,,,"pavement, no dip ",NH
TJ18-48 D,140,90,,,,"pavement, no dip ",NH
TJ18-48 D,140,90,,,,"pavement, no dip ",NH
TJ18-48 D,148,90,,,,"pavement, no dip ",NH
TJ18-48 D,135,90,,,,"pavement, no dip ",NH
TJ18-48 D,135,90,,,,"pavement, no dip ",NH
TJ18-48 D,15,90,,,,"pavement, no dip ",NH
TJ18-48 D,18,90,,,,"pavement, no dip ",NH
TJ18-48 D,15,90,,,,"pavement, no dip ",NH
TJ18-48 D,20,90,,,,"pavement, no dip ",NH
TJ18-48 D,35,90,,,,"pavement, no dip ",NH
TJ18-48 E,220,80,,,tan clay,,NH
Tj18-48 F,295,85,,,,,NH
TJ18-49 D,25,90,,,,,NH
TJ18-49 D,135,90,,,,,NH
TJ18-47 G,120,85,,,,,NH
TJ18-47 I,125,90,200,,,iffy,NH
TJ18-47 J,348,62,,,,,NH
TJ18-47 J,146,77,,,clay,,NH
TJ18-47 J,154,77,,,tan ,,NH
TJ18-47 J,67,65,,,,,NH
TJ18-47 J,110,83,30,,,,NH
TJ18-47 J,115,77,,,,,NH
TJ18-47 J,241,60,,,,,NH
TJ18-47 J,101,80,,,,,NH
TJ18-47 J,303,62,,,,,NH
FL18-72 B,170,32,1,,"red stain, few minerals",,NH
TJ18-43 B,325,87,0.7,,brown silt/clay,,ST
TJ18-43 C,330,90,,,,,ST
TJ18-43 D,321,90,,,none,,ST
TJ18-43 E,153,88,,,,,ST
TJ18-43 E,325,88,,,,,ST
TJ18-43 F,340,90,,,,,ST
TJ18-43 G,325,90,,,,,ST
TJ18-37 N,122,83,,,,inside dike,ST
TJ18-41 B,338,70,,,,,ST
TJ18-41 B,336,71,,,,,ST
TJ18-41 B,348,52,,,,,ST
TJ18-41 B,316,68,,,,,ST
TJ18-41 B,334,69,,,,,ST
TJ18-41 B,324,78,,,,,ST
TJ18-41 B,23,60,,,,,ST
TJ18-41 C,344,72,,,,,ST
TJ18-41 C,148,70,,,,,ST
TJ18-41 C,0,82,,,,,ST
TJ18-41 C,334,45,,,,,ST
TJ18-41 C,338,78,,,,,ST
TJ18-41 C,340,74,,,,,ST
TJ18-44,166,82,30,,,iffy,ST
TJ18-46,120,90,,,,,ST
TJ18-47 P,295,80,,,,,ST
TJ18-49 B,355,90,50,,,,ST
FL18-96 D,181,72,50,,,,ST