site,trend,plunge,a95,k,N,strike,dip,lithology,Parent document,easting,northing
TJ14-01,348.3,-23.8,4,99.3,14,247.2,40.4,L,Our Sites,665029.5237,7331887.562
TJ14-02,348.8,-49.3,1.9,563,11,247.2,40.4,L,Our Sites,665029.5237,7331887.562
TJ14-03,304.6,-18.3,14.4,23.4,5,247.2,40.4,L,Our Sites,665050.2177,7332046.251
TJ14-04,323.3,-22.9,4.9,130.5,8,247.2,40.4,L,Our Sites,665050.2177,7332046.251
TJ14-05,320.9,-18.2,2.9,209.3,13,247.2,40.4,L,Our Sites,665050.2177,7332046.251
TJ14-06,324.9,-49,4.7,118.9,9,305.1,23.3,L,Our Sites,665050.2177,7332046.251
TJ14-07,342,-88.7,5,94.4,11,305.1,23.3,L,Our Sites,665050.2177,7332046.251
TJ14-08,27.2,-73.1,1.4,969.2,12,305.1,23.3,L,Our Sites,665050.2177,7332046.251
TJ14-09,12.6,-45.1,27,4.7,3,305.1,23.3,L,Our Sites,665050.2177,7332046.251
TJ14-10,20.8,-55.9,5.3,84.3,10,305.1,23.3,L,Our Sites,665068.7129,7332203.695
TJ14-11,158.5,45,4.4,84,14,278.5,22.2,L,Our Sites,667437.6847,7336421.934
TJ14-12,181.1,38,7.8,32.4,10,278.5,22.2,L,Our Sites,667449.2431,7336410.332
TJ14-13,43.4,56.1,4.8,198.8,6,278.5,22.2,L,Our Sites,667460.6299,7336531.64
TJ14-14,182.6,45.1,3,207.3,12,278.5,22.2,L,Our Sites,667449.2431,7336410.332
TJ14-15,176.3,22.1,5.1,68,13,278.5,22.2,L,Our Sites,667445.8599,7336383.324
TJ14-16,184.2,39.8,4.5,80.9,14,278.5,22.2,L,Our Sites,667460.9536,7336380.867
TJ16-17,353,-51.2,3,183,14,280.5,32.3,L,Our Sites,664811.5725,7332810.832
TJ16-18,350.2,-30.4,3.4,163.6,12,280.5,32.3,L,Our Sites,664806.2724,7332839.563
TJ16-19,0.7,-42.6,9.1,55,6,280.5,32.3,L,Our Sites,664793.5484,7332863.394
TJ16-20,4.5,-56.7,4,80.2,17,280.5,32.3,L,Our Sites,664791.2872,7332871.08
TJ16-21,6.8,-57.8,4.2,175.2,8,280.5,32.3,L,Our Sites,664789.4809,7332863.157
TJ16-22,1.9,-49.3,2.8,243.9,12,280.5,32.3,L,Our Sites,664739.6273,7332917.218
TJ16-23,7.1,-45.1,3,143,17,280.5,32.3,L,Our Sites,664742.7233,7332934.151
TJ16-24,154.6,66.9,3.5,176.5,9,280.5,32.3,L,Our Sites,664730.5844,7332940.147
TJ16-25,355.7,-45.7,3.4,133.9,11,280.5,32.3,L,Our Sites,664730.5844,7332940.147
TJ16-26,353.1,-54.9,6.7,68.5,8,280.5,32.3,L,Our Sites,664687.1236,7333001.281
TJ16-27,6.2,-40.3,4.1,128.8,7,280.5,32.3,L,Our Sites,664635.9183,7333055.265
TJ16-28,17.4,-36.4,4.2,117.7,11,280.5,32.3,L,Our Sites,664624.1696,7333046.764
TJ16-29,7.4,-28.3,2.2,292.8,15,280.5,32.3,L,Our Sites,664626.2941,7333088.212
TJ16-30,336.5,-44.7,4.6,77,14,280.5,32.3,L,Our Sites,664618.1597,7333087.739
TJ16-31,187.4,60.2,2.9,368.7,8,191,11.7,L,Our Sites,665472.2883,7335207.178
TJ16-32,180.2,50.3,8.2,30.1,7,191,11.7,L,Our Sites,665310.9112,7335270.343
TJ16-33,148.8,43.3,2.8,143.1,19,191,11.7,L,Our Sites,665276.9454,7335339.841
TJ16-34,168.6,12.3,5.2,88.3,9,191,11.7,L,Our Sites,665177.8972,7335398.836
TJ16-35,352.3,-11.5,14.7,28,5,191,11.7,L,Our Sites,665207.0171,7335482.072