station,strike,dip,trend,plunge
00-80,100,87,278.3,30
00-80,117,58,280.6,24.3
00-80,36,76,33.8,-8.7
00-80,220,86,220.3,5
00-80,45,86,45.1,1
87-1a,358,82,356.6,-9.9
87-1a,9,89,9.3,17
87-1a,29,69,34.9,14.9
87-1a,168,76,173.3,20.3
87-1a,300,87,118.2,31
87-1a,325,88,323.8,-30
87-1a,155,89,155.3,18
87-1b,194,77,5,34
87-1b,48,87,47,-19
87-1b,44,78,43.2,-3.9
87-1b,57,84,58.6,14.9
87-1b,49,74,51.5,8.6
87-1b,59,72,66.1,20.9
87-1b,62,73,71.6,28.6
87-1b,82,67,76,-13.8
87-1b,105,56,93.5,-16.5
87-1b,93,66,118.9,44.4
87-1b,90,71,101.9,31
87-1b,100,78,103.9,17.6
87-1b,93,74,98.4,18.2
87-1b,122,78,128.8,29.3
87-1b,143,82,325.4,-16.8
87-1b,351,78,175.8,-21.5
87-1b,355,84,178,-26.8
87-1b,349,89,168.6,20
87-1b,344,89,163.5,25
87-2,117,87,296.7,5
87-2,35,89,34.9,-4
87-2,85,87,264.4,11
87-2,270,79,91.5,-7.9
87-2,276,64,101.3,-10.8
87-3a,196,65,288.4,65
87-3a,195,71,343.5,56.6
87-3a,187,75,323,68.9
87-3a,168,74,315,62.2
87-3a,159,67,277.5,64.2
87-3a,160,72,290.9,66.7
87-3a,217,69,268.3,63.8
87-3a,157,82,195.3,77.2
87-3a,162,85,329.2,68.4
87-3a,134,77,202.7,76.1
87-3a,45,76,67.7,57.2
87-3a,19,70,48.6,53.7
87-3a,53,48,141.5,48
87-3a,54,48,141,48
87-3a,15,59,125.7,57.3
87-3a,0,63,72.8,61.9
87-3a,355,60,75.1,59.6
87-3a,20,64,75.1,59.3
87-3a,352,57,76.5,56.9
87-3a,70,78,89.8,57.9
87-3a,285,73,87,45.3
87-3b,128,59,307.5,0.9
87-3b,132,74,306.2,16.3
87-3b,173,65,332.5,35.6
87-3b,173,84,351.9,9.9
87-3b,343,89,163.2,-14
87-3b,205,85,204.7,-3
87-3b,194,87,194,0
87-3b,38,44,43,4.9
87-3b,15,80,17.3,12.8
87-3b,30,89,30.1,7
87-3b,2,70,6.2,11.3
87-3b,359,80,183,-21.6
87-7,3,86,5,26.9
87-7,177,65,159.9,-32.2
87-7,168,61,147.9,-31.8
87-7,153,75,159.9,24.1
87-7,104,75,284.3,-1
87-7,100,84,280.4,-4
87-7,143,74,139.6,-11.5
87-7,150,85,149.7,-3
87-7,132,88,311.7,8
87-7,299,89,119.1,-5
87-7,108,86,288.3,-4
87-7,121,82,300.6,3
87-7,115,82,294.4,4
87-7,121,76,300.3,2.9
87-7,117,78,296.8,1
87-7,120,77,302.3,-9.7
87-7,121,76,304.5,-13.6
87-8,100,45,296.7,-16
87-8,94,52,92.8,-1.6
87-8,129,50,307.7,1.5
87-8,124,54,301.1,4
87-8,138,55,301,22.6
87-8,134,61,316.4,-4.4
87-8,112,80,289.9,11.8
87-8,155,70,334.3,1.9
87-8,143,66,317.6,11.9
87-8,122,71,297.4,13.2
87-8,126,73,306,0
87-8,124,71,308.6,-13.2
87-8,295,85,115.6,-7
87-8,141,77,321.7,-2.9
87-8,135,78,319.1,-18.6
87-8,209,76,209.7,2.9
87-8,145,80,322.9,11.8
87-8,152,76,321.7,35.7
87-8,148,89,328.1,-5
87-8,312,80,133.9,-10.8
87-8,320,78,131.4,35.1
87-8,327,78,149.3,-10.8
87-8,338,81,158.6,-4
87-8,341,85,162,-11
87-8,355,90,355,33
87-8,357,89,357.5,25
87-8,181,82,184.9,25.7
87-8,186,84,184.4,-14.9
87-8,193,80,196.6,19.7
87-8,200,54,217.4,22.3
87-8,199,62,200.9,3.5
87-8,201,68,193.2,-18.5
87-8,214,76,219,19.4
87-8,10,79,13.1,15.7
87-8,29,81,33.4,25.7
87-8,18,89,17.9,-7
87-8,10,89,9.5,-25
87-8,138,36,320.4,-1.8
87-8,9,89,9.1,4
91-1,114,73,301.8,-23.8
91-1,132,68,325.2,-29.4
91-1,321,71,134.6,17.9
91-1,140,74,313.3,22.1
91-1,133,68,317.9,-12
91-1,149,73,332,-9.6
91-1,152,79,333,-4.9
91-1,156,70,330,15.9
91-1,150,86,329,14
91-1,153,88,333.4,-11
91-1,146,89,325.9,7
91-1,318,82,140.7,-18.8
91-1,333,67,155.4,-5.5
91-1,173,53,196.6,28
91-1,203,53,228.2,29.5
91-1,183,64,200.1,31
91-1,177,74,174.8,-7.7
91-1,206,78,202.1,-17.6
91-1,183,74,190,23
91-1,175,88,174.6,-10
91-1,195,79,199.4,21.6
91-1,194,82,198.1,26.7
91-1,14,89,14.2,13
91-1,18,83,17.6,-3
91-1,27,81,25.4,-9.9
91-1,34,73,31.9,-6.7
00-99,156,59,197.7,47.9
00-99,121,69,187.2,67.2
00-99,116,36,218.3,35.4
00-99,136,42,232.7,41.8
00-99,69,50,174.3,49
00-99,124,46,268.3,31.2
00-99,113,53,248,43.2
00-99,94,62,242.1,44.8
00-99,134,59,267.4,50.4
00-99,121,52,241.6,47.8
00-99,129,58,200.6,56.6
01-51,198,48,296.9,47.7
01-51,221,56,309.2,56
01-51,222,62,307.7,61.9
01-51,354,59,61.6,57
01-51,14,81,35.2,66.3
01-51,40,89,46.3,80.9
01-51,21,85,60.7,82.2
01-51,19,80,48.6,70.4
99-10,175,40,283,38.6
99-10,169,41,255,40.9
99-10,24,53,76.2,46.4
99-10,27,47,82.6,41.5
99-10,1,42,79,41.4
99-10,332,70,70.7,69.8
99-10,334,64,83.9,62.6
99-10,350,54,107.5,50.7
99-10,331,57,85.6,54.5
99-10,342,56,79.1,55.8
99-11,163,63,257.4,62.9
99-11,188,70,295.1,69.2
99-11,336,79,142.7,49.7
99-11,19,37,107.7,37
99-11,19,47,119.2,46.5
99-11,29,50,138.8,48.3
99-11,20,61,122.2,60.4
99-11,19,62,131.5,60.1
99-11,7,67,116.8,65.7
99-11,8,69,111.7,68.4
99-21,205,57,300.5,56.9
99-21,151,57,219.7,55.1
99-21,340,52,96.4,48.9
99-21,356,72,89.2,72